"Adduct","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","tags","UniqueFileSources"
,"0","5121","45",,,,"G1,G2","2.0","2.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=5121&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=45&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"5121","4","564.325",,"564.325","0.0","500.74775","false","5121",,,,"38721.7",,"GD_009_pmd2_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","3382","-1",,,,"G1","3.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=3382&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"3382","3","411.263",,"411.263","0.0","558.1736666666667","false","3382",,,,"9585.44",,"NIST1950_Iterative_RPP_20210405_03.mzML|NIST1950_Iterative_RPP_20210405_04.mzML"
,"0","7873","-1",,,,"G1","2.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=7873&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"7873","2","899.999",,"899.999","0.0","718.607","false","7873",,,,"7458.48",,"NIST1950_Iterative_RPP_20210405_06.mzML|NIST1950_Iterative_RPP_20210405_04.mzML"
,"0","1078","-1",,,,"G1,G2","1.0","3.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1078&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"1078","4","271.206",,"271.206","0.0","294.82125","false","1078",,,,"22735.2",,"GD_014_pmd7_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","1856","-1",,,,"G1,G4","2.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1856&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"1856","3","321.156",,"321.156","0.0","49.663333333333334","false","1856",,,,"9083.25",,"NIST1950_Iterative_RPP_20210405_04.mzML|GD_015_camera1_RPP_RRHD_B1.mzML"
,"0","6027","52",,,,"G2","0.0","3.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=6027&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=52&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"6027","3","649.534",,"649.534","0.0","609.05","false","6027",,,,"81686.1",,"GD_010_pmd3_RPP_RRHD_B1.mzML"
,"0","4572","-1",,,,"G1,G2","2.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=4572&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"4572","3","511.298",,"511.298","0.0","599.1623333333333","false","4572",,,,"18018.9",,"NIST1950_Iterative_RPP_20210405_06.mzML|GD_012_pmd5_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","237","-1",,,,"G3","0.0","0.0","2.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=237&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"237","2","161.003",,"161.003","0.0","568.3975","false","237",,,,"11744.1",,"GD_024_ramclustr2_RPP_RRHD_B1.mzML"
,"0","6091","-1",,,,"G2","0.0","2.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=6091&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"6091","2","658.563",,"658.563","0.0","597.002","false","6091",,,,"16579.9",,"GD_012_pmd5_RPP_RRHD_B1.mzML"
,"0","1054","-1",,,,"G1","5.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1054&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"1054","5","270.997",,"270.997","0.0","38.3214","false","1054",,,,"17907.0",,"NIST1950_Iterative_RPP_20210405_03.mzML|NIST1950_Iterative_RPP_20210405_08.mzML|NIST1950_Iterative_RPP_20210405_05.mzML"
,"0","7128","1",,,,"G1,G3,G4","1.0","0.0","3.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=7128&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"7128","5","801.487",,"801.487","0.0","665.3632","false","7128",,,,"67618.9",,"NIST1950_Iterative_RPP_20210405_06.mzML|GD_026_ramclustr4_RPP_RRHD_B1.mzML|GD_016_camera2_RPP_RRHD_B1.mzML"
,"0","1304","-1",,,,"G1,G3,G4","1.0","0.0","4.0","2.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1304&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"1304","7","286.229",,"286.229","0.0","556.0341428571428","false","1304",,,,"411112.0",,"GD_024_ramclustr2_RPP_RRHD_B1.mzML|GD_020_camera6_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_04.mzML"
,"0","7035","2",,,,"G1","4.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=7035&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"7035","4","792.287",,"792.287","0.0","870.96875","false","7035",,,,"13346.1",,"NIST1950_Iterative_RPP_20210405_02.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
"M+H","0","7421","1","PC(20:0/20:4); [M+H]+ C48H89N1O8P1","Commercial","Thomas Metz","G1,G2,G3,G4","6.0","3.0","4.0","1.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003096899","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=7421&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true","nan","HCD; Velos","LC-ESI","Positive","1","0.8530270000000001","0.8998389999999999","1018.39","7421","14","838.478","Thomas Metz","838.478","0.0","739.7491428571428","false","7421","13","nan","CCMSLIB00003096899","235693.0","nan","NIST1950_Iterative_RPP_20210405_02.mzML|NIST1950_Iterative_RPP_20210405_06.mzML|NIST1950_Iterative_RPP_20210405_03.mzML|GD_024_ramclustr2_RPP_RRHD_B1.mzML|GD_021_camera7_RPP_RRHD_B1.mzML|GD_013_pmd6_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_05.mzML"
,"0","865","-1",,,,"G3","0.0","0.0","2.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=865&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"865","2","257.537",,"257.537","0.0","423.26","false","865",,,,"23149.8",,"GD_023_ramclustr1_RPP_RRHD_B1.mzML|GD_026_ramclustr4_RPP_RRHD_B1.mzML"
,"0","5996","52",,,,"G2","0.0","2.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=5996&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=52&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"5996","2","645.503",,"645.503","0.0","582.8355","false","5996",,,,"21958.7",,"GD_011_pmd4_RPP_RRHD_B1.mzML"
,"0","4250","49",,,,"G2","0.0","2.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=4250&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=49&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"4250","2","480.895",,"480.895","0.0","47.619","false","4250",,,,"4303.07",,"GD_008_pmd1_RPP_RRHD_B1.mzML"
,"0","6061","76",,,,"G2","0.0","8.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=6061&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=76&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"6061","8","653.565",,"653.565","0.0","637.1025","false","6061",,,,"108481.0",,"GD_010_pmd3_RPP_RRHD_B1.mzML"
,"0","6899","14",,,,"G1,G4","5.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=6899&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=14&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"6899","6","775.567",,"775.567","0.0","667.3948333333333","false","6899",,,,"30185.3",,"NIST1950_Iterative_RPP_20210405_03.mzML|NIST1950_Iterative_RPP_20210405_04.mzML|GD_015_camera1_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_02.mzML"
,"0","4293","-1",,,,"G4","0.0","0.0","0.0","4.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=4293&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"4293","4","485.345",,"485.345","0.0","468.99225","false","4293",,,,"28606.0",,"GD_017_camera3_RPP_RRHD_B1.mzML"
,"0","3562","-1",,,,"G1,G4","1.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=3562&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"3562","2","423.107",,"423.107","0.0","208.978","false","3562",,,,"3276.72",,"GD_021_camera7_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_08.mzML"
,"0","4276","-1",,,,"G1","2.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=4276&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"4276","2","484.323",,"484.323","0.0","437.395","false","4276",,,,"5113.03",,"NIST1950_Iterative_RPP_20210405_04.mzML"
,"0","111","-1",,,,"G1","21.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=111&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"111","21","140.937",,"140.937","0.0","321.6134761904762","false","111",,,,"47431.5",,"NIST1950_Iterative_RPP_20210405_04.mzML|NIST1950_Iterative_RPP_20210405_02.mzML|NIST1950_Iterative_RPP_20210405_03.mzML|NIST1950_Iterative_RPP_20210405_01.mzML|NIST1950_Iterative_RPP_20210405_08.mzML|NIST1950_Iterative_RPP_20210405_05.mzML"
,"0","2798","-1",,,,"G2","0.0","14.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=2798&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"2798","14","370.625",,"370.625","0.0","658.5174285714286","false","2798",,,,"546579.0",,"GD_008_pmd1_RPP_RRHD_B1.mzML|GD_011_pmd4_RPP_RRHD_B1.mzML"
,"0","1649","-1",,,,"G1","5.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=1649&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"1649","5","308.321",,"308.321","0.0","415.4794","false","1649",,,,"20416.2",,"NIST1950_Iterative_RPP_20210405_07.mzML|NIST1950_Iterative_RPP_20210405_03.mzML|NIST1950_Iterative_RPP_20210405_08.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","3978","-1",,,,"G1","2.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=3978&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"3978","2","455.378",,"455.378","0.0","570.1814999999999","false","3978",,,,"8978.29",,"NIST1950_Iterative_RPP_20210405_06.mzML"
,"0","3775","15",,,,"G1,G2","3.0","5.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=3775&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"3775","8","438.311",,"438.311","0.0","514.28775","false","3775",,,,"103171.0",,"GD_013_pmd6_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML|NIST1950_Iterative_RPP_20210405_05.mzML"
,"0","3654","-1",,,,"G1,G2","2.0","4.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=3654&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"3654","6","429.373",,"429.373","0.0","669.3953333333334","false","3654",,,,"71519.3",,"GD_013_pmd6_RPP_RRHD_B1.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
"[M+H]+","0","4079","-1","Kaempferol 3-glucuronide","isolated","MoNA:VF-NPL-QTOF000971","G1","3.0","0.0","0.0","0.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00004718574","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=4079&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true","InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)17-18(13(25)12-10(24)5-9(23)6-11(12)31-17)32-21-16(28)14(26)15(27)19(33-21)20(29)30/h1-6,14-16,19,21-24,26-28H,(H,29,30)/t14-,15-,16+,19-,21+/m0/s1","ESI-QTOF","nan","positive","3","1.11899","0.759885","2416.37","4079","3","464.206","MoNA","464.206","0.0","256.665","false","4079","6","nan","CCMSLIB00004718574","27703.3","nan","NIST1950_Iterative_RPP_20210405_02.mzML|NIST1950_Iterative_RPP_20210405_01.mzML"
,"0","3470","-1",,,,"G1","3.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=47bd0f0c102c42c09a879ac02c6c302f&view=cluster_details&protein=3470&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=47bd0f0c102c42c09a879ac02c6c302f&show=true",,,,,,,,,"3470","3","415.16",,"415.16","0.0","310.551","false","3470",,,,"4689.82",,"NIST1950_Iterative_RPP_20210405_04.mzML"
